time,time_milisec,gx,gy,gz,resultant
49:28.0,1.42163E+12,-2.4930232,-0.6576298,-0.7802026,2.693762745
49:28.0,1.42163E+12,-2.8191736,-1.2982059,-0.6459055,3.170216438
49:28.0,1.42163E+12,-3.2753575,-2.7541568,-0.67148596,4.33177098
49:28.0,1.42163E+12,-3.101624,-3.6931705,-1.2161351,4.973787728
49:28.0,1.42163E+12,-3.3520987,-1.1671062,-1.5007168,3.853680512
49:28.1,1.42163E+12,-2.7903957,2.5623028,-0.7301075,3.85807734
49:28.1,1.42163E+12,-1.487927,4.913568,-0.24088213,5.139562379
49:28.1,1.42163E+12,-0.2749895,3.0451329,-1.9867448,3.646314373
49:28.1,1.42163E+12,-1.1756327,-2.0837371,-2.4951553,3.456858765
49:28.1,1.42163E+12,-0.8835897,-2.6262546,-1.5188365,3.159874728
49:28.2,1.42163E+12,-0.4934891,-2.9811828,-0.7492926,3.113265453
49:28.2,1.42163E+12,0.12790178,-2.844754,-0.30163574,2.863558679
49:28.2,1.42163E+12,0.7482263,-2.3907018,0.056489907,2.505691282
49:28.2,1.42163E+12,1.6307502,-1.0871674,0.35919118,1.992560532
49:28.2,1.42163E+12,3.008894,0.82816505,0.5627683,3.171121034
49:28.3,1.42163E+12,3.761384,1.93132,0.7023949,4.286183049
49:28.3,1.42163E+12,3.3339787,2.150885,1.2598342,4.162799835
49:28.3,1.42163E+12,-2.0006008,1.413317,-0.11404615,2.452116438
49:28.3,1.42163E+12,-2.3011703,3.735804,-1.1703035,4.54106007
49:28.3,1.42163E+12,0.28138402,4.647105,-0.85800976,4.734019708
49:28.4,1.42163E+12,-1.813011,1.2939415,-0.15241697,2.232604852
49:28.4,1.42163E+12,-0.3506651,0.06927974,1.7245449,1.761198685
49:28.4,1.42163E+12,0.16414073,-0.91982865,1.4079875,1.689809375
49:28.4,1.42163E+12,-0.33680892,0.36984968,1.8183398,1.885892007
49:28.4,1.42163E+12,0.64164126,-1.772509,2.5271301,3.152757238
49:28.5,1.42163E+12,3.5109096,-5.089434,1.695767,6.411275254
49:28.5,1.42163E+12,4.8283005,-2.4002945,1.2086735,5.525829443
49:28.5,1.42163E+12,2.8703337,1.9366492,0.7439631,3.541596641
49:28.5,1.42163E+12,3.2135375,1.1756322,-0.050095126,3.422198687
49:28.5,1.42163E+12,3.1208086,0.843087,-0.017053818,3.232728389
49:28.6,1.42163E+12,1.7415985,0.99976695,0.20037943,2.018130622
49:28.6,1.42163E+12,0.29630622,-0.9827139,0.14602113,1.036747875
49:28.6,1.42163E+12,-0.17586558,-0.5382547,0.39756176,0.691883066
49:28.6,1.42163E+12,-0.9592653,-0.1961165,0.4689736,1.085627853
49:28.6,1.42163E+12,-2.1029222,-0.4199451,-0.18119483,2.152084393
49:28.7,1.42163E+12,-2.3757799,-1.3824078,-0.735437,2.845390841
49:28.7,1.42163E+12,-2.3981626,-1.5177706,-0.65869564,2.913535892
49:28.7,1.42163E+12,-2.7296422,-2.0826714,-0.48709375,3.467813003
49:28.7,1.42163E+12,-3.164509,-2.5175378,-0.29737255,4.054694097
49:28.7,1.42163E+12,-3.0099607,-2.2318902,-0.6043373,3.79557912
49:28.8,1.42163E+12,-3.476803,-0.7961904,-1.9046744,4.043496361
49:28.8,1.42163E+12,-3.1453235,1.4079875,-1.6904386,3.838368323
49:28.8,1.42163E+12,-2.06242,3.9010105,-0.4082208,4.431489975
49:28.8,1.42163E+12,-0.7173174,4.005464,-0.6064689,4.114133036
49:28.9,1.42163E+12,-0.53932047,-1.1308671,-2.5814888,2.869461864
49:28.9,1.42163E+12,-0.9581995,-3.2327235,-1.8726987,3.856896152
49:28.9,1.42163E+12,-0.3986281,-2.6422424,-0.968858,2.842364348
49:28.9,1.42163E+12,0.13003337,-2.7104568,-0.62458825,2.784527828
49:28.9,1.42163E+12,0.7162511,-2.5782914,-0.12150726,2.678687402
49:29.0,1.42163E+12,1.552943,-1.4047909,0.21530166,2.105094829
49:29.0,1.42163E+12,2.8287654,0.25793514,0.4338007,2.873434752
49:29.0,1.42163E+12,3.7858987,1.3504317,0.5403857,4.055701104
49:29.0,1.42163E+12,3.4501565,1.8609738,1.0050962,4.046853312
49:29.0,1.42163E+12,-0.9709896,1.7991544,0.18545748,2.052844815
49:29.1,1.42163E+12,-3.2764232,1.9856782,-1.0722451,3.978388676
49:29.1,1.42163E+12,-0.17586558,3.1399937,-0.75675374,3.234681648
