time,time_milisec,ax,ay,az,resultant
49:30.0,1.42163E+12,8.767867,-18.826052,-3.7779937,21.1085045
49:30.0,1.42163E+12,7.628137,-18.540146,-3.2970438,20.31738137
49:30.0,1.42163E+12,5.6024,-15.76791,-10.385104,19.69426964
49:30.0,1.42163E+12,3.0404773,-12.214001,-8.913814,15.4234368
49:30.0,1.42163E+12,1.8753003,-8.491242,-5.38116,10.2261833
49:30.1,1.42163E+12,0.13906083,-3.274291,-6.366411,7.160412592
49:30.1,1.42163E+12,1.6658858,-0.7104227,-8.823551,9.00749289
49:30.1,1.42163E+12,2.5551865,-0.26749375,-1.0750644,2.785012463
49:30.1,1.42163E+12,0.24623795,-0.24429199,1.0352472,1.091809722
49:30.2,1.42163E+12,0.522713,-0.2547702,1.0786569,1.225413172
49:30.2,1.42163E+12,0.30057496,-2.863246,-1.4584172,3.22730595
