time,time_milisec,ax,ay,az,resultant,MA_ax,MA_ay,MA_az,MA_R
41:19.7,1.42E+12,2.44292,-7.4684196,-6.7093477,10.33249708,2.547821792,-4.976488349,-7.436781158,9.693679738
41:19.8,1.42E+12,2.1513262,-7.428752,-6.644383,10.19619469,2.586118152,-5.11207939,-7.403211958,9.730574158
41:19.8,1.42E+12,2.1486318,-7.2817574,-6.7334476,10.14790254,2.623354716,-5.240069232,-7.36751419,9.76215812
41:19.8,1.42E+12,2.4026537,-7.1404514,-6.5460377,9.98045092,2.661396608,-5.363610328,-7.325849844,9.787821475
41:19.8,1.42E+12,2.5503964,-7.098239,-6.6027694,10.02427466,2.697788929,-5.480807612,-7.286077552,9.814089298
41:19.8,1.42E+12,2.6412575,-7.3087015,-7.0344715,10.48223011,2.735411693,-5.595567968,-7.248688292,9.842267784
41:19.9,1.42E+12,2.868485,-7.143445,-6.8214645,10.28539696,2.776941332,-5.700299174,-7.206422182,9.864570606
41:19.9,1.42E+12,2.8006759,-6.7105455,-6.4899044,9.746489908,2.812234938,-5.79212123,-7.15337549,9.870666235
41:19.9,1.42E+12,3.1635215,-6.7585955,-6.4021864,9.832317739,2.85201322,-5.884796512,-7.097239218,9.876839188
41:19.9,1.42E+12,3.4019756,-6.7855396,-6.491401,9.987756134,2.892183686,-5.980342828,-7.050308818,9.893200178
41:19.9,1.42E+12,3.4232314,-6.6301627,-6.676117,10.01239776,2.933473824,-6.076407066,-7.012452538,9.916123053
41:20.0,1.42E+12,3.674858,-6.6523166,-6.783444,10.18690385,2.969710468,-6.173255672,-6.979042018,9.942981327
41:20.0,1.42E+12,3.8347256,-6.3539867,-6.6734223,9.980622857,3.000761894,-6.262212682,-6.941110884,9.961170386
41:20.0,1.42E+12,3.8685553,-6.15041,-6.7159343,9.894293143,3.02498452,-6.338556922,-6.90691301,9.97629926
41:20.0,1.42E+12,3.5100508,-6.620882,-6.506819,9.924476237,3.04521046,-6.424741702,-6.87131403,9.995615139
41:20.0,1.42E+12,3.4862504,-6.4879584,-6.6460295,9.92054707,3.06078707,-6.496032456,-6.83969678,10.01120566
41:20.1,1.42E+12,3.482059,-6.4830184,-6.831494,10.0410942,3.075139224,-6.56676636,-6.81947982,10.0355902
41:20.1,1.42E+12,3.5592985,-5.9522223,-7.1870046,9.987521777,3.08490791,-6.61944781,-6.810489512,10.05785063
41:20.1,1.42E+12,3.4735267,-5.513634,-7.347321,9.820828555,3.083548734,-6.656498754,-6.803169728,10.06939878
41:20.1,1.42E+12,3.2102244,-5.5097423,-7.256011,9.659839364,3.077064222,-6.68458634,-6.788206848,10.06929493
41:20.3,1.42E+12,3.2700999,-5.4956717,-7.2278695,9.650806096,3.073384876,-6.701049104,-6.777602898,10.06845466
41:20.3,1.42E+12,3.2832725,-5.4645367,-7.410789,9.775522148,3.071391026,-6.714329498,-6.76963945,10.06854832
41:20.3,1.42E+12,3.2509396,-5.393584,-7.354955,9.682702087,3.064990338,-6.72662493,-6.75912831,10.06452447
41:20.3,1.42E+12,3.2442036,-5.172494,-7.5663157,9.722586305,3.058167524,-6.730468944,-6.763400424,10.0674347
41:20.3,1.42E+12,3.2115715,-4.926555,-7.493118,9.525332174,3.050772902,-6.723448544,-6.769594544,10.06581646
41:20.3,1.42E+12,3.4943335,-4.796775,-7.688312,9.712340522,3.045273338,-6.709344864,-6.775049198,10.06059389
41:20.3,1.42E+12,3.520529,-4.9620314,-8.133785,10.15747697,3.038211022,-6.687840586,-6.791407168,10.05882818
41:20.3,1.42E+12,2.9219239,-4.455934,-8.329878,9.888369663,3.022532626,-6.65685502,-6.816977,10.05707825
41:20.3,1.42E+12,2.5984466,-3.7637732,-8.505163,9.656899662,3.002561158,-6.609813844,-6.848396654,10.05179769
41:20.3,1.42E+12,2.2887406,-3.0952635,-8.389005,9.230080962,2.981371224,-6.548195984,-6.874613134,10.0369438
41:20.3,1.42E+12,1.9103274,-2.930606,-8.0305,8.75937969,2.957594668,-6.485150094,-6.898940534,10.01921814
41:20.4,1.42E+12,1.6473243,-2.494413,-8.443492,8.957026891,2.926609102,-6.408575334,-6.924926502,9.997122489
41:20.4,1.42E+12,1.5141014,-2.5265958,-8.559201,9.051856779,2.89420149,-6.32941994,-6.963061196,9.982070583
41:20.4,1.42E+12,1.5840061,-2.262994,-8.4978285,8.935508177,2.858803102,-6.24091498,-7.002570034,9.962263317
41:20.4,1.42E+12,1.5182927,-2.1168978,-8.524473,8.913647342,2.81844403,-6.139701456,-7.046141426,9.936288281
41:20.4,1.42E+12,2.0137625,-2.0417542,-8.829539,9.283574666,2.787629112,-6.01917808,-7.097700206,9.905803892
41:20.5,1.42E+12,2.0176542,-1.7833915,-8.598269,9.010085655,2.755685538,-5.88950873,-7.141762566,9.864821581
41:20.5,1.42E+12,1.9886147,-1.5643969,-8.618927,8.982640409,2.731328188,-5.753917708,-7.181909086,9.822108687
41:20.5,1.42E+12,1.7236656,-1.4521303,-8.609945,8.900048225,2.71614676,-5.632771634,-7.224729026,9.795754206
41:20.5,1.42E+12,1.3922548,-1.4910493,-8.524922,8.765608738,2.69865713,-5.515667152,-7.26639338,9.770465901
41:20.6,1.42E+12,0.7575746,-1.4940431,-8.614885,8.77623653,2.671389832,-5.405053174,-7.32039508,9.757491037
41:20.6,1.42E+12,0.4272116,-1.6178356,-8.693921,8.853483164,2.639350458,-5.299866906,-7.381066914,9.751856481
41:20.6,1.42E+12,0.42781037,-1.5302678,-9.104218,9.241835675,2.602877305,-5.193578932,-7.451815794,9.754586039
41:20.6,1.42E+12,0.43185195,-1.0240206,-9.224717,9.291421744,2.563772624,-5.075327836,-7.518648814,9.752345632
41:20.6,1.42E+12,0.25791368,-0.33485368,-9.280401,9.290020946,2.519291124,-4.935126382,-7.574623408,9.736036897
41:20.6,1.42E+12,0.3143463,0.20207977,-8.823102,8.831012328,2.471983498,-4.774387636,-7.612368908,9.696627861
41:20.7,1.42E+12,0.00119751,0.37077895,-8.322244,8.330499604,2.418858968,-4.610783857,-7.633819308,9.643595157
41:20.7,1.42E+12,-0.30491593,0.19609222,-8.380323,8.388160672,2.359639116,-4.452158721,-7.65765574,9.59358595
41:20.7,1.42E+12,-0.20911515,0.011376343,-8.824,8.826484836,2.302263429,-4.294162274,-7.69332356,9.552059144
